date,open,high,low,close,volume
2022-10-14,144.31,144.52,138.19,138.38,88492326
2022-10-13,134.99,143.59,134.37,142.99,113223975
2022-10-12,139.13,140.36,138.16,138.34,70433744
2022-10-11,139.9,141.35,138.22,138.98,77033672
2022-10-10,140.42,141.89,138.5729,140.42,74899002
